query_id,question,schema,query
10,How many acting statuses are there?,"{'column_names': [[-1, '*'], [0, 'department id'], [0, 'name'], [0, 'creation'], [0, 'ranking'], [0, 'budget in billions'], [0, 'num employees'], [1, 'head id'], [1, 'name'], [1, 'born state'], [1, 'age'], [2, 'department id'], [2, 'head id'], [2, 'temporary acting']], 'column_names_original': [[-1, '*'], [0, 'Department_ID'], [0, 'Name'], [0, 'Creation'], [0, 'Ranking'], [0, 'Budget_in_Billions'], [0, 'Num_Employees'], [1, 'head_ID'], [1, 'name'], [1, 'born_state'], [1, 'age'], [2, 'department_ID'], [2, 'head_ID'], [2, 'temporary_acting']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'number', 'number', 'text', 'text', 'number', 'number', 'number', 'text'], 'db_id': 'department_management', 'foreign_keys': [[12, 7], [11, 1]], 'primary_keys': [1, 7, 11], 'table_names': ['department', 'head', 'management'], 'table_names_original': ['department', 'head', 'management']}",SELECT COUNT(DISTINCT temporary_acting) FROM management
11,How many departments are led by heads who are not mentioned?,"{'column_names': [[-1, '*'], [0, 'department id'], [0, 'name'], [0, 'creation'], [0, 'ranking'], [0, 'budget in billions'], [0, 'num employees'], [1, 'head id'], [1, 'name'], [1, 'born state'], [1, 'age'], [2, 'department id'], [2, 'head id'], [2, 'temporary acting']], 'column_names_original': [[-1, '*'], [0, 'Department_ID'], [0, 'Name'], [0, 'Creation'], [0, 'Ranking'], [0, 'Budget_in_Billions'], [0, 'Num_Employees'], [1, 'head_ID'], [1, 'name'], [1, 'born_state'], [1, 'age'], [2, 'department_ID'], [2, 'head_ID'], [2, 'temporary_acting']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'number', 'number', 'text', 'text', 'number', 'number', 'number', 'text'], 'db_id': 'department_management', 'foreign_keys': [[12, 7], [11, 1]], 'primary_keys': [1, 7, 11], 'table_names': ['department', 'head', 'management'], 'table_names_original': ['department', 'head', 'management']}",SELECT COUNT(*) FROM department WHERE department.id NOT IN (SELECT management.department_id FROM management)
12,What are the distinct ages of the heads who are acting?,"{'column_names': [[-1, '*'], [0, 'department id'], [0, 'name'], [0, 'creation'], [0, 'ranking'], [0, 'budget in billions'], [0, 'num employees'], [1, 'head id'], [1, 'name'], [1, 'born state'], [1, 'age'], [2, 'department id'], [2, 'head id'], [2, 'temporary acting']], 'column_names_original': [[-1, '*'], [0, 'Department_ID'], [0, 'Name'], [0, 'Creation'], [0, 'Ranking'], [0, 'Budget_in_Billions'], [0, 'Num_Employees'], [1, 'head_ID'], [1, 'name'], [1, 'born_state'], [1, 'age'], [2, 'department_ID'], [2, 'head_ID'], [2, 'temporary_acting']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'number', 'number', 'text', 'text', 'number', 'number', 'number', 'text'], 'db_id': 'department_management', 'foreign_keys': [[12, 7], [11, 1]], 'primary_keys': [1, 7, 11], 'table_names': ['department', 'head', 'management'], 'table_names_original': ['department', 'head', 'management']}","SELECT DISTINCT head.age 
FROM head 
JOIN management ON head.head id = management.head id 
WHERE management.temporary acting = 'yes'"
13,List the states where both the secretary of 'Treasury' department and the secretary of 'Homeland Security' were born.,"{'column_names': [[-1, '*'], [0, 'department id'], [0, 'name'], [0, 'creation'], [0, 'ranking'], [0, 'budget in billions'], [0, 'num employees'], [1, 'head id'], [1, 'name'], [1, 'born state'], [1, 'age'], [2, 'department id'], [2, 'head id'], [2, 'temporary acting']], 'column_names_original': [[-1, '*'], [0, 'Department_ID'], [0, 'Name'], [0, 'Creation'], [0, 'Ranking'], [0, 'Budget_in_Billions'], [0, 'Num_Employees'], [1, 'head_ID'], [1, 'name'], [1, 'born_state'], [1, 'age'], [2, 'department_ID'], [2, 'head_ID'], [2, 'temporary_acting']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'number', 'number', 'text', 'text', 'number', 'number', 'number', 'text'], 'db_id': 'department_management', 'foreign_keys': [[12, 7], [11, 1]], 'primary_keys': [1, 7, 11], 'table_names': ['department', 'head', 'management'], 'table_names_original': ['department', 'head', 'management']}","SELECT head.born_state 
FROM head 
JOIN management ON head.head_id = management.head_id 
JOIN department ON management.department_id = department.department_id 
WHERE department.name IN ('Treasury', 'Homeland Security') 
GROUP BY head.born_state 
HAVING COUNT(DISTINCT department.name) = 2"
14,"Which department has more than 1 head at a time? List the id, name and the number of heads.","{'column_names': [[-1, '*'], [0, 'department id'], [0, 'name'], [0, 'creation'], [0, 'ranking'], [0, 'budget in billions'], [0, 'num employees'], [1, 'head id'], [1, 'name'], [1, 'born state'], [1, 'age'], [2, 'department id'], [2, 'head id'], [2, 'temporary acting']], 'column_names_original': [[-1, '*'], [0, 'Department_ID'], [0, 'Name'], [0, 'Creation'], [0, 'Ranking'], [0, 'Budget_in_Billions'], [0, 'Num_Employees'], [1, 'head_ID'], [1, 'name'], [1, 'born_state'], [1, 'age'], [2, 'department_ID'], [2, 'head_ID'], [2, 'temporary_acting']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'number', 'number', 'text', 'text', 'number', 'number', 'number', 'text'], 'db_id': 'department_management', 'foreign_keys': [[12, 7], [11, 1]], 'primary_keys': [1, 7, 11], 'table_names': ['department', 'head', 'management'], 'table_names_original': ['department', 'head', 'management']}","SELECT department.id, department.name, COUNT(management.head_id) as num_heads
FROM department
JOIN management ON department.id = management.department_id
GROUP BY department.id, department.name
HAVING COUNT(management.head_id) > 1"
15,Which head's name has the substring 'Ha'? List the id and name.,"{'column_names': [[-1, '*'], [0, 'department id'], [0, 'name'], [0, 'creation'], [0, 'ranking'], [0, 'budget in billions'], [0, 'num employees'], [1, 'head id'], [1, 'name'], [1, 'born state'], [1, 'age'], [2, 'department id'], [2, 'head id'], [2, 'temporary acting']], 'column_names_original': [[-1, '*'], [0, 'Department_ID'], [0, 'Name'], [0, 'Creation'], [0, 'Ranking'], [0, 'Budget_in_Billions'], [0, 'Num_Employees'], [1, 'head_ID'], [1, 'name'], [1, 'born_state'], [1, 'age'], [2, 'department_ID'], [2, 'head_ID'], [2, 'temporary_acting']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'number', 'number', 'text', 'text', 'number', 'number', 'number', 'text'], 'db_id': 'department_management', 'foreign_keys': [[12, 7], [11, 1]], 'primary_keys': [1, 7, 11], 'table_names': ['department', 'head', 'management'], 'table_names_original': ['department', 'head', 'management']}","SELECT head.id, head.name
FROM head
WHERE head.name LIKE '%Ha%'"
16,How many farms are there?,"{'column_names': [[-1, '*'], [0, 'city id'], [0, 'official name'], [0, 'status'], [0, 'area km 2'], [0, 'population'], [0, 'census ranking'], [1, 'farm id'], [1, 'year'], [1, 'total horses'], [1, 'working horses'], [1, 'total cattle'], [1, 'oxen'], [1, 'bulls'], [1, 'cows'], [1, 'pigs'], [1, 'sheep and goats'], [2, 'competition id'], [2, 'year'], [2, 'theme'], [2, 'host city id'], [2, 'hosts'], [3, 'competition id'], [3, 'farm id'], [3, 'rank']], 'column_names_original': [[-1, '*'], [0, 'City_ID'], [0, 'Official_Name'], [0, 'Status'], [0, 'Area_km_2'], [0, 'Population'], [0, 'Census_Ranking'], [1, 'Farm_ID'], [1, 'Year'], [1, 'Total_Horses'], [1, 'Working_Horses'], [1, 'Total_Cattle'], [1, 'Oxen'], [1, 'Bulls'], [1, 'Cows'], [1, 'Pigs'], [1, 'Sheep_and_Goats'], [2, 'Competition_ID'], [2, 'Year'], [2, 'Theme'], [2, 'Host_city_ID'], [2, 'Hosts'], [3, 'Competition_ID'], [3, 'Farm_ID'], [3, 'Rank']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'text', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'text', 'number', 'text', 'number', 'number', 'number'], 'db_id': 'farm', 'foreign_keys': [[20, 1], [23, 7], [22, 17]], 'primary_keys': [1, 7, 17, 22], 'table_names': ['city', 'farm', 'farm competition', 'competition record'], 'table_names_original': ['city', 'farm', 'farm_competition', 'competition_record']}",SELECT COUNT(*) FROM farm
17,Count the number of farms.,"{'column_names': [[-1, '*'], [0, 'city id'], [0, 'official name'], [0, 'status'], [0, 'area km 2'], [0, 'population'], [0, 'census ranking'], [1, 'farm id'], [1, 'year'], [1, 'total horses'], [1, 'working horses'], [1, 'total cattle'], [1, 'oxen'], [1, 'bulls'], [1, 'cows'], [1, 'pigs'], [1, 'sheep and goats'], [2, 'competition id'], [2, 'year'], [2, 'theme'], [2, 'host city id'], [2, 'hosts'], [3, 'competition id'], [3, 'farm id'], [3, 'rank']], 'column_names_original': [[-1, '*'], [0, 'City_ID'], [0, 'Official_Name'], [0, 'Status'], [0, 'Area_km_2'], [0, 'Population'], [0, 'Census_Ranking'], [1, 'Farm_ID'], [1, 'Year'], [1, 'Total_Horses'], [1, 'Working_Horses'], [1, 'Total_Cattle'], [1, 'Oxen'], [1, 'Bulls'], [1, 'Cows'], [1, 'Pigs'], [1, 'Sheep_and_Goats'], [2, 'Competition_ID'], [2, 'Year'], [2, 'Theme'], [2, 'Host_city_ID'], [2, 'Hosts'], [3, 'Competition_ID'], [3, 'Farm_ID'], [3, 'Rank']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'text', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'text', 'number', 'text', 'number', 'number', 'number'], 'db_id': 'farm', 'foreign_keys': [[20, 1], [23, 7], [22, 17]], 'primary_keys': [1, 7, 17, 22], 'table_names': ['city', 'farm', 'farm competition', 'competition record'], 'table_names_original': ['city', 'farm', 'farm_competition', 'competition_record']}",SELECT COUNT(*) FROM farm
18,List the total number of horses on farms in ascending order.,"{'column_names': [[-1, '*'], [0, 'city id'], [0, 'official name'], [0, 'status'], [0, 'area km 2'], [0, 'population'], [0, 'census ranking'], [1, 'farm id'], [1, 'year'], [1, 'total horses'], [1, 'working horses'], [1, 'total cattle'], [1, 'oxen'], [1, 'bulls'], [1, 'cows'], [1, 'pigs'], [1, 'sheep and goats'], [2, 'competition id'], [2, 'year'], [2, 'theme'], [2, 'host city id'], [2, 'hosts'], [3, 'competition id'], [3, 'farm id'], [3, 'rank']], 'column_names_original': [[-1, '*'], [0, 'City_ID'], [0, 'Official_Name'], [0, 'Status'], [0, 'Area_km_2'], [0, 'Population'], [0, 'Census_Ranking'], [1, 'Farm_ID'], [1, 'Year'], [1, 'Total_Horses'], [1, 'Working_Horses'], [1, 'Total_Cattle'], [1, 'Oxen'], [1, 'Bulls'], [1, 'Cows'], [1, 'Pigs'], [1, 'Sheep_and_Goats'], [2, 'Competition_ID'], [2, 'Year'], [2, 'Theme'], [2, 'Host_city_ID'], [2, 'Hosts'], [3, 'Competition_ID'], [3, 'Farm_ID'], [3, 'Rank']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'text', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'text', 'number', 'text', 'number', 'number', 'number'], 'db_id': 'farm', 'foreign_keys': [[20, 1], [23, 7], [22, 17]], 'primary_keys': [1, 7, 17, 22], 'table_names': ['city', 'farm', 'farm competition', 'competition record'], 'table_names_original': ['city', 'farm', 'farm_competition', 'competition_record']}",SELECT total_horses FROM farm ORDER BY total_horses ASC
19,"What is the total horses record for each farm, sorted ascending?","{'column_names': [[-1, '*'], [0, 'city id'], [0, 'official name'], [0, 'status'], [0, 'area km 2'], [0, 'population'], [0, 'census ranking'], [1, 'farm id'], [1, 'year'], [1, 'total horses'], [1, 'working horses'], [1, 'total cattle'], [1, 'oxen'], [1, 'bulls'], [1, 'cows'], [1, 'pigs'], [1, 'sheep and goats'], [2, 'competition id'], [2, 'year'], [2, 'theme'], [2, 'host city id'], [2, 'hosts'], [3, 'competition id'], [3, 'farm id'], [3, 'rank']], 'column_names_original': [[-1, '*'], [0, 'City_ID'], [0, 'Official_Name'], [0, 'Status'], [0, 'Area_km_2'], [0, 'Population'], [0, 'Census_Ranking'], [1, 'Farm_ID'], [1, 'Year'], [1, 'Total_Horses'], [1, 'Working_Horses'], [1, 'Total_Cattle'], [1, 'Oxen'], [1, 'Bulls'], [1, 'Cows'], [1, 'Pigs'], [1, 'Sheep_and_Goats'], [2, 'Competition_ID'], [2, 'Year'], [2, 'Theme'], [2, 'Host_city_ID'], [2, 'Hosts'], [3, 'Competition_ID'], [3, 'Farm_ID'], [3, 'Rank']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'text', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'text', 'number', 'text', 'number', 'number', 'number'], 'db_id': 'farm', 'foreign_keys': [[20, 1], [23, 7], [22, 17]], 'primary_keys': [1, 7, 17, 22], 'table_names': ['city', 'farm', 'farm competition', 'competition record'], 'table_names_original': ['city', 'farm', 'farm_competition', 'competition_record']}","SELECT `farm id`, SUM(`total horses`)
FROM farm
GROUP BY `farm id`
ORDER BY SUM(`total horses`) ASC"
20,"What are the hosts of competitions whose theme is not ""Aliens""?","{'column_names': [[-1, '*'], [0, 'city id'], [0, 'official name'], [0, 'status'], [0, 'area km 2'], [0, 'population'], [0, 'census ranking'], [1, 'farm id'], [1, 'year'], [1, 'total horses'], [1, 'working horses'], [1, 'total cattle'], [1, 'oxen'], [1, 'bulls'], [1, 'cows'], [1, 'pigs'], [1, 'sheep and goats'], [2, 'competition id'], [2, 'year'], [2, 'theme'], [2, 'host city id'], [2, 'hosts'], [3, 'competition id'], [3, 'farm id'], [3, 'rank']], 'column_names_original': [[-1, '*'], [0, 'City_ID'], [0, 'Official_Name'], [0, 'Status'], [0, 'Area_km_2'], [0, 'Population'], [0, 'Census_Ranking'], [1, 'Farm_ID'], [1, 'Year'], [1, 'Total_Horses'], [1, 'Working_Horses'], [1, 'Total_Cattle'], [1, 'Oxen'], [1, 'Bulls'], [1, 'Cows'], [1, 'Pigs'], [1, 'Sheep_and_Goats'], [2, 'Competition_ID'], [2, 'Year'], [2, 'Theme'], [2, 'Host_city_ID'], [2, 'Hosts'], [3, 'Competition_ID'], [3, 'Farm_ID'], [3, 'Rank']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'text', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'text', 'number', 'text', 'number', 'number', 'number'], 'db_id': 'farm', 'foreign_keys': [[20, 1], [23, 7], [22, 17]], 'primary_keys': [1, 7, 17, 22], 'table_names': ['city', 'farm', 'farm competition', 'competition record'], 'table_names_original': ['city', 'farm', 'farm_competition', 'competition_record']}","SELECT hosts FROM farm_competition WHERE theme != ""Aliens"""
21,Return the hosts of competitions for which the theme is not Aliens?,"{'column_names': [[-1, '*'], [0, 'city id'], [0, 'official name'], [0, 'status'], [0, 'area km 2'], [0, 'population'], [0, 'census ranking'], [1, 'farm id'], [1, 'year'], [1, 'total horses'], [1, 'working horses'], [1, 'total cattle'], [1, 'oxen'], [1, 'bulls'], [1, 'cows'], [1, 'pigs'], [1, 'sheep and goats'], [2, 'competition id'], [2, 'year'], [2, 'theme'], [2, 'host city id'], [2, 'hosts'], [3, 'competition id'], [3, 'farm id'], [3, 'rank']], 'column_names_original': [[-1, '*'], [0, 'City_ID'], [0, 'Official_Name'], [0, 'Status'], [0, 'Area_km_2'], [0, 'Population'], [0, 'Census_Ranking'], [1, 'Farm_ID'], [1, 'Year'], [1, 'Total_Horses'], [1, 'Working_Horses'], [1, 'Total_Cattle'], [1, 'Oxen'], [1, 'Bulls'], [1, 'Cows'], [1, 'Pigs'], [1, 'Sheep_and_Goats'], [2, 'Competition_ID'], [2, 'Year'], [2, 'Theme'], [2, 'Host_city_ID'], [2, 'Hosts'], [3, 'Competition_ID'], [3, 'Farm_ID'], [3, 'Rank']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'text', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'text', 'number', 'text', 'number', 'number', 'number'], 'db_id': 'farm', 'foreign_keys': [[20, 1], [23, 7], [22, 17]], 'primary_keys': [1, 7, 17, 22], 'table_names': ['city', 'farm', 'farm competition', 'competition record'], 'table_names_original': ['city', 'farm', 'farm_competition', 'competition_record']}",SELECT hosts FROM farm_competition WHERE theme != 'Aliens'
