,gold,db_id
52,SELECT Official_Name FROM city WHERE Population  >  1500 OR Population  <  500,farm
53,SELECT Official_Name FROM city WHERE Population  >  1500 OR Population  <  500,farm
54,SELECT Census_Ranking FROM city WHERE Status !=  'Village',farm
55,SELECT Census_Ranking FROM city WHERE Status !=  'Village',farm
56,SELECT T1.course_name FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_Id GROUP BY T1.course_id ORDER BY count(*) DESC LIMIT 1,student_assessment
57,SELECT T1.course_name FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_Id GROUP BY T1.course_id ORDER BY count(*) DESC LIMIT 1,student_assessment
58,SELECT student_id FROM student_course_registrations GROUP BY student_id ORDER BY count(*) LIMIT 1,student_assessment
59,SELECT student_id FROM student_course_registrations GROUP BY student_id ORDER BY count(*) LIMIT 1,student_assessment
60,SELECT T2.first_name ,  T2.last_name FROM candidates AS T1 JOIN people AS T2 ON T1.candidate_id = T2.person_id,student_assessment
61,SELECT T2.first_name ,  T2.last_name FROM candidates AS T1 JOIN people AS T2 ON T1.candidate_id = T2.person_id,student_assessment
62,SELECT student_id FROM students WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance),student_assessment
63,SELECT student_id FROM students WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance),student_assessment
64,SELECT student_id FROM student_course_attendance,student_assessment
65,SELECT student_id FROM student_course_attendance,student_assessment
66,SELECT T1.student_id ,  T2.course_name FROM student_course_registrations AS T1 JOIN courses AS T2 ON T1.course_id = T2.course_id,student_assessment
67,SELECT T2.student_details FROM student_course_registrations AS T1 JOIN students AS T2 ON T1.student_id = T2.student_id ORDER BY T1.registration_date DESC LIMIT 1,student_assessment
68,SELECT T2.student_details FROM student_course_registrations AS T1 JOIN students AS T2 ON T1.student_id = T2.student_id ORDER BY T1.registration_date DESC LIMIT 1,student_assessment
69,SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = 'English',student_assessment
70,SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = 'English',student_assessment
71,SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T2.student_id = 171,student_assessment
72,SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T2.student_id = 171,student_assessment
73,SELECT T2.candidate_id FROM people AS T1 JOIN candidates AS T2 ON T1.person_id = T2.candidate_id WHERE T1.email_address = 'stanley.monahan@example.org',student_assessment
74,SELECT T2.candidate_id FROM people AS T1 JOIN candidates AS T2 ON T1.person_id = T2.candidate_id WHERE T1.email_address = 'stanley.monahan@example.org',student_assessment
75,SELECT candidate_id FROM candidate_assessments ORDER BY assessment_date DESC LIMIT 1,student_assessment
76,SELECT candidate_id FROM candidate_assessments ORDER BY assessment_date DESC LIMIT 1,student_assessment
77,SELECT T1.student_details FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id ORDER BY count(*) DESC LIMIT 1,student_assessment
78,SELECT T1.student_details FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id ORDER BY count(*) DESC LIMIT 1,student_assessment
79,SELECT T1.student_id ,  count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id,student_assessment
80,SELECT T1.student_id ,  count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id,student_assessment
81,SELECT T3.course_name ,  count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T2.course_id,student_assessment
82,SELECT T3.course_name ,  count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T2.course_id,student_assessment
83,SELECT candidate_id FROM candidate_assessments WHERE asessment_outcome_code = 'Pass',student_assessment
84,SELECT candidate_id FROM candidate_assessments WHERE asessment_outcome_code = 'Pass',student_assessment
85,SELECT T3.cell_mobile_number FROM candidates AS T1 JOIN candidate_assessments AS T2 ON T1.candidate_id = T2.candidate_id JOIN people AS T3 ON T1.candidate_id = T3.person_id WHERE T2.asessment_outcome_code = 'Fail',student_assessment
86,SELECT T3.cell_mobile_number FROM candidates AS T1 JOIN candidate_assessments AS T2 ON T1.candidate_id = T2.candidate_id JOIN people AS T3 ON T1.candidate_id = T3.person_id WHERE T2.asessment_outcome_code = 'Fail',student_assessment
87,SELECT student_id FROM student_course_attendance WHERE course_id  =  301,student_assessment
88,SELECT student_id FROM student_course_attendance WHERE course_id  =  301,student_assessment
89,SELECT student_id FROM student_course_attendance WHERE course_id = 301 ORDER BY date_of_attendance DESC LIMIT 1,student_assessment
90,SELECT student_id FROM student_course_attendance WHERE course_id = 301 ORDER BY date_of_attendance DESC LIMIT 1,student_assessment
91,SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id,student_assessment
92,SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id,student_assessment
93,SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id JOIN students AS T3 ON T2.person_id = T3.student_id,student_assessment
94,SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id JOIN students AS T3 ON T2.person_id = T3.student_id,student_assessment
95,SELECT course_name FROM courses ORDER BY course_name,student_assessment
96,SELECT course_name FROM courses ORDER BY course_name,student_assessment
97,SELECT first_name FROM people ORDER BY first_name,student_assessment
98,SELECT first_name FROM people ORDER BY first_name,student_assessment
99,SELECT student_id FROM student_course_registrations UNION SELECT student_id FROM student_course_attendance,student_assessment
